,time,cum_sec,self_sec,calls,self_s_call,tot_s_call,namespace,class,function,definition
187,0.05,499.51,0.28,932517.0,0.0,0.0,,AlfCovariance,calcErrorForCoeffs,"AlfCovariance::calcErrorForCoeffs(int const*, int const*, int, int) const"
188,0.05,499.78,0.27,5602.0,0.0,0.0,,,fastForwardDCT2_B64,"fastForwardDCT2_B64(int const*, int*, int, int, int, int)"
189,0.05,500.05,0.27,3064126.0,0.0,0.0,,std,pair,"std::pair<long, long> fwdTransformCbCr<0>(AreaBuf<short> const&, AreaBuf<short> const&, AreaBuf<short>&, AreaBuf<short>&)"
190,0.05,500.32,0.27,802016.0,0.0,0.0,,CABACWriter,residual_codingTS,"CABACWriter::residual_codingTS(TransformUnit const&, ComponentID)"
191,0.05,500.59,0.27,51029364.0,0.0,0.0,,CABACWriter,xWriteTruncBinCode,"CABACWriter::xWriteTruncBinCode(unsigned int, unsigned int)"
192,0.05,500.86,0.27,30251438.0,0.0,0.0,,TrQuant,xQuant,"TrQuant::xQuant(TransformUnit&, ComponentID const&, AreaBuf<int const> const&, int&, QpParam const&, Ctx const&)"
193,0.05,501.13,0.27,4874779.0,0.0,0.0,,CodingStructure,getRecoBuf,CodingStructure::getRecoBuf(UnitArea const&)
194,0.05,501.39,0.26,3790874.0,0.0,0.0,,CodingStructure,getPredBuf,CodingStructure::getPredBuf(UnitArea const&)
195,0.05,501.65,0.26,8725245.0,0.0,0.0,,IntraSearch,xGetIntraFracBitsQTChroma,"IntraSearch::xGetIntraFracBitsQTChroma(TransformUnit&, ComponentID const&)"
196,0.05,501.91,0.26,4584003.0,0.0,0.0,,IntraPrediction,xFilterReferenceSamples,"IntraPrediction::xFilterReferenceSamples(short const*, short*, CompArea const&, SPS const&, int)"
197,0.05,502.17,0.26,46727.0,0.0,0.0,,BinEncoderBase,encodeRemAbsEP,"BinEncoderBase::encodeRemAbsEP(unsigned int, unsigned int, unsigned int, int)"
198,0.05,502.43,0.26,63608105.0,0.0,0.0,,RdCost,calcRdCost,"RdCost::calcRdCost(unsigned long, unsigned long, bool)"
199,0.05,502.68,0.25,128140660.0,0.0,0.0,,CompArea,lumaSize,CompArea::lumaSize() const
200,0.05,502.93,0.25,58098811.0,0.0,0.0,,TU,isTSAllowed,"TU::isTSAllowed(TransformUnit const&, ComponentID)"
201,0.05,503.18,0.25,36625103.0,0.0,0.0,,CU,isMTSAllowed,"CU::isMTSAllowed(CodingUnit const&, ComponentID)"
202,0.05,503.42,0.24,15142110.0,0.0,0.0,,CodingStructure,getCURestricted,"CodingStructure::getCURestricted(Position const&, Position, unsigned int, unsigned int, ChannelType) const"
203,0.05,503.66,0.24,6466384.0,0.0,0.0,,MatrixIntraPrediction,boundaryDownsampling1D,"MatrixIntraPrediction::boundaryDownsampling1D(int*, int const*, unsigned int, unsigned int)"
204,0.05,503.9,0.24,3834423.0,0.0,0.0,,EncModeCtrlMTnoRQT,useModeResult,"EncModeCtrlMTnoRQT::useModeResult(EncTestMode const&, CodingStructure*&, Partitioner&)"
205,0.04,504.12,0.22,3245156.0,0.0,0.0,,EncModeCtrlMTnoRQT,checkSkipOtherLfnst,"EncModeCtrlMTnoRQT::checkSkipOtherLfnst(EncTestMode const&, CodingStructure*&, Partitioner&)"
206,0.04,504.34,0.22,5602.0,0.0,0.0,,,fastInverseDCT2_B64,"fastInverseDCT2_B64(int const*, int*, int, int, int, int, int, int)"
207,0.04,504.55,0.22,25384785.0,0.0,0.0,,PU,getWideAngle,"PU::getWideAngle(TransformUnit const&, unsigned int, ComponentID)"
208,0.04,504.76,0.21,16835105.0,0.0,0.0,,MatrixIntraPrediction,predBlock,"MatrixIntraPrediction::predBlock(int*, int, bool, int, ComponentID)"
209,0.04,504.97,0.21,3857717.0,0.0,0.0,,EncCu,xCheckBestMode,"EncCu::xCheckBestMode(CodingStructure*&, CodingStructure*&, Partitioner&, EncTestMode const&)"
210,0.04,505.18,0.21,34480189.0,0.0,0.0,,TransformUnit,init,"TransformUnit::init(int**, short**, bool**)"
211,0.04,505.38,0.21,60084352.0,0.0,0.0,,PreCalcValues,getMaxBtSize,"PreCalcValues::getMaxBtSize(Slice const&, ChannelType) const"
212,0.04,505.58,0.2,11255195.0,0.0,0.0,,CodingStructure,setDecomp,"CodingStructure::setDecomp(CompArea const&, bool)"
213,0.04,505.78,0.2,73235020.0,0.0,0.0,,BitEstimatorBase,encodeBinEP,BitEstimatorBase::encodeBinEP(unsigned int)
214,0.04,505.98,0.2,51809012.0,0.0,0.0,,TU,getICTMode,"TU::getICTMode(TransformUnit const&, int)"
215,0.04,506.18,0.2,3790746.0,0.0,0.0,,CodingStructure,getRecoBuf,CodingStructure::getRecoBuf(UnitArea const&) const
216,0.04,506.38,0.2,35192701.0,0.0,0.0,,TransformUnit,getTbAreaAfterCoefZeroOut,TransformUnit::getTbAreaAfterCoefZeroOut(ComponentID) const
217,0.04,506.57,0.19,53370550.0,0.0,0.0,std,vector,_M_range_insert,"void std::vector<PredictionUnit*, std::allocator<PredictionUnit*> >::_M_range_insert<__gnu_cxx::__normal_iterator<PredictionUnit**, std::vector<PredictionUnit*, std::allocator<PredictionUnit*> > > >(__gnu_cxx::__normal_iterator<PredictionUnit**, std::vector<PredictionUnit*, std::allocator<PredictionUnit*> > >, __gnu_cxx::__normal_iterator<PredictionUnit**, std::vector<PredictionUnit*, std::allocator<PredictionUnit*> > >, __gnu_cxx::__normal_iterator<PredictionUnit**, std::vector<PredictionUnit*, std::allocator<PredictionUnit*> > >, std::forward_iterator_tag)"
218,0.04,506.76,0.19,15163256.0,0.0,0.0,,UnitBuf,copyFrom,"UnitBuf<short>::copyFrom(UnitBuf<short const> const&, bool, bool)"
219,0.04,506.95,0.19,4413709.0,0.0,0.0,,CABACWriter,split_cu_mode,"CABACWriter::split_cu_mode(PartSplit, CodingStructure const&, Partitioner&)"
220,0.04,507.14,0.19,3744444.0,0.0,0.0,,CABACWriter,intra_chroma_pred_mode,CABACWriter::intra_chroma_pred_mode(PredictionUnit const&)
221,0.04,507.33,0.19,28469788.0,0.0,0.0,,TrQuant,xDeQuant,"TrQuant::xDeQuant(TransformUnit const&, AreaBuf<int>&, ComponentID const&, QpParam const&)"
222,0.04,507.52,0.19,8050452.0,0.0,0.0,,CodingUnit,checkCCLMAllowed,CodingUnit::checkCCLMAllowed() const
223,0.04,507.71,0.19,106274345.0,0.0,0.0,,BitEstimatorBase,encodeBinsEP,"BitEstimatorBase::encodeBinsEP(unsigned int, unsigned int)"
